text,intent,intent_prediction.name,intent_prediction.confidence,intent_prediction,confidence,Accurate
Is your sizing more in line with American or European standards?,sizing_clarification,sizing_clarification,0.8573464751243591,sizing_clarification,0.8573464751243591,True
What size should I order for my kids? Do you have a separate sizing chart for children?,sizing_clarification,sizing_clarification,0.9713928699493408,sizing_clarification,0.9713928699493408,True
"Are there distinct sizing options for men and women, or is it unisex sizing?",sizing_clarification,sizing_clarification,0.9832994341850281,sizing_clarification,0.9832994341850281,True
I can't remember my password can I login with my email,alternate_info,alternate_info,0.9013667106628418,alternate_info,0.9013667106628418,True
I don't phone number I used to create my account,alternate_info,alternate_info,0.9862420558929443,alternate_info,0.9862420558929443,True
"Instead of an email, can I provide a phone number for my account?",alternate_info,alternate_info,0.9874973297119141,alternate_info,0.9874973297119141,True
"Can someone access my account status using my email address, or is additional information required?",alternate_info,alternate_info,0.9522742629051208,alternate_info,0.9522742629051208,True
I'm having trouble with my email address; the system says it's not accepted. What should I do?,alternate_info,alternate_info,0.9919176697731018,alternate_info,0.9919176697731018,True
i don't want to subscribe,product_updates,product_updates,0.905159592628479,product_updates,0.905159592628479,True
Is there an instagram account I can follow,product_updates,product_updates,0.9718082547187805,product_updates,0.9718082547187805,True
How can I stay informed about updates and changes on the website?,product_updates,product_updates,0.7218024730682373,product_updates,0.7218024730682373,True
Check inventory,product_stock,product_stock,0.9909833669662476,product_stock,0.9909833669662476,True
i'm looking for new shoes,product_stock,product_stock,0.38767483830451965,product_stock,0.38767483830451965,True
when can I expect the pre order to restock?,product_stock,product_stock,0.987933337688446,product_stock,0.987933337688446,True
Will you restock after an item has sold out,product_stock,product_stock,0.9937259554862976,product_stock,0.9937259554862976,True
Do you have white shoes in stock at the moment?,product_stock,product_stock,0.9984167814254761,product_stock,0.9984167814254761,True
Can you provide information about the current state of your inventory?,product_stock,product_stock,0.5562989711761475,product_stock,0.5562989711761475,True
what is you're return policy,oreder_return,oreder_return,0.946085512638092,oreder_return,0.946085512638092,True
Can I make a return if it's been longer than 30 days,oreder_return,oreder_return,0.9600381851196289,oreder_return,0.9600381851196289,True
is there an option to return after 30 days for store credit?,oreder_return,oreder_return,0.9837667942047119,oreder_return,0.9837667942047119,True
Initiate a return for the jacket I purchased.,oreder_return,oreder_return,0.9986386895179749,oreder_return,0.9986386895179749,True
I've changed my mind about the sweater. Can I return it?,oreder_return,oreder_return,0.607517421245575,oreder_return,0.607517421245575,True
"when will I get charged for the order, can I cancel before I get charged?",order_cancel,order_cancel,0.984446108341217,order_cancel,0.984446108341217,True
My order never arrived can I cancel it and get my money back?,order_cancel,order_cancel,0.9833453893661499,order_cancel,0.9833453893661499,True
I've decided to cancel my order for the sweater.,order_cancel,order_cancel,0.8524348139762878,order_cancel,0.8524348139762878,True
Please cancel the shoes I ordered; I've changed my mind.,order_cancel,order_cancel,0.9994151592254639,order_cancel,0.9994151592254639,True
I changed my mind about the color. Can you cancel my order for the backpack?,order_cancel,order_cancel,0.9987199306488037,order_cancel,0.9987199306488037,True
where is my order?,order_status,order_status,0.8932215571403503,order_status,0.8932215571403503,True
I want to check the status of my order,order_status,order_status,0.9988682270050049,order_status,0.9988682270050049,True
actually can I check the status of my order,order_status,order_status,0.9991161227226257,order_status,0.9991161227226257,True
order status for 12345678,order_status,order_status,0.9992861151695251,order_status,0.9992861151695251,True
Could you please check the current status of my order?,order_status,order_status,0.9887422323226929,order_status,0.9887422323226929,True
I'm wondering when my order will get here. Can you give me an update?,order_status,order_status,0.9950182437896729,order_status,0.9950182437896729,True
"I entered the wrong information, but I don't want to change my contact details.",not_alternate_info,not_alternate_info,0.49297869205474854,not_alternate_info,0.49297869205474854,True
I don't care if discount codes have expiration dates; it's not a factor for me.,not_discount_code,not_discount_code,0.8995484113693237,not_discount_code,0.8995484113693237,True
I don't care if discount codes last indefinitely or not.,not_discount_code,not_discount_code,0.8809990882873535,not_discount_code,0.8809990882873535,True
I don't need a specific discount code; I'll proceed without any promotions.,not_discount_code,not_discount_code,0.7658926844596863,not_discount_code,0.7658926844596863,True
I'm not concerned about the expiration date of the discount code HELLO20.,not_discount_code,not_discount_code,0.9856563806533813,not_discount_code,0.9856563806533813,True
"I received my order, and everything is in perfect condition.",not_order_status,not_order_status,0.9846317768096924,not_order_status,0.9846317768096924,True
"My shoes arrived on time, and I'm happy with the delivery.",not_order_status,not_order_status,0.9785424470901489,not_order_status,0.9785424470901489,True
"My package has been delivered, and I don't need any further updates.",not_order_status,not_order_status,0.9807743430137634,not_order_status,0.9807743430137634,True
Thank you for the previous update on my order; everything is fine now.,not_order_status,not_order_status,0.87140953540802,not_order_status,0.87140953540802,True
I don't care if you accept Apple Pay or not; any payment method is fine.,not_payment_methods,not_payment_methods,0.9839729070663452,not_payment_methods,0.9839729070663452,True
I don't care if I can use PayPal or Venmo; any payment method will work for me.,not_payment_methods,not_payment_methods,0.8899374008178711,not_payment_methods,0.8899374008178711,True
I don't need assistance; I'll handle the credit card problem on my own.,not_payment_methods,not_payment_methods,0.9901997447013855,not_payment_methods,0.9901997447013855,True
I'm not interested in price match; the current pricing is acceptable.,not_price_match,not_price_match,0.9964296221733093,not_price_match,0.9964296221733093,True
I don't need information about selling products on other sites or matching those prices.,not_price_match,not_price_match,0.8566341400146484,not_price_match,0.8566341400146484,True
I won't be using a price from someone else's website; your pricing is acceptable.,not_price_match,not_price_match,0.9363794922828674,not_price_match,0.9363794922828674,True
I'm not concerned about the inventory right now; just browsing.,not_product_stock,not_product_stock,0.8588268160820007,not_product_stock,0.8588268160820007,True
I won't be checking the inventory; just wanted to browse the website.,not_product_stock,not_product_stock,0.9551886320114136,not_product_stock,0.9551886320114136,True
unsubscribe from updates.,not_product_updates,not_product_updates,0.9947898387908936,not_product_updates,0.9947898387908936,True
I won't be signing up for updates at the moment.,not_product_updates,not_product_updates,0.9883860349655151,not_product_updates,0.9883860349655151,True
Cancel the return process; I'd like to keep the shoes I bought.,not_order_return,not_order_return,0.5990169048309326,not_order_return,0.5990169048309326,True
I've reconsidered; I don't want to return anything at the moment.,not_order_return,not_order_return,0.5493602156639099,not_order_return,0.5493602156639099,True
I've changed my mind about returning something; I'll be keeping it.,not_order_return,not_order_return,0.9965366125106812,not_order_return,0.9965366125106812,True
"I'll be keeping all the items, so there's no need for a return.",not_order_return,not_order_return,0.9895289540290833,not_order_return,0.9895289540290833,True
I'm not interested in sizing listed in inches; standard sizes are fine for me.,not_sizing_clarification,not_sizing_clarification,0.5981829762458801,not_sizing_clarification,0.5981829762458801,True
"I purchased this product last week, and now it's on sale. Can I get a price adjustment?",price_match,not_price_match,0.3127477169036865,not_price_match,0.3127477169036865,False
Do you offer a price matching policy for items bought during a specific promotion or sale period?,price_match,discount_code,0.5621255040168762,discount_code,0.5621255040168762,False
I'm having trouble applying a discount to my order. Can you help me with that?,discount_code,not_discount_code,0.9061535596847534,not_discount_code,0.9061535596847534,False
I'm getting an error while trying to pay,payment_methods,inform,0.647781491279602,inform,0.647781491279602,False
how do I pay using multiple cards,payment_methods,not_payment_methods,0.5123293995857239,not_payment_methods,0.5123293995857239,False
What are the available payment methods that your company accepts?,payment_methods,product_stock,0.5956101417541504,product_stock,0.5956101417541504,False
Do you accept Apple Pay as a payment method?,payment_methods,not_payment_methods,0.5761789083480835,not_payment_methods,0.5761789083480835,False
I can't find the size chart. Where can I locate it on your website?,sizing_clarification,order_status,0.378309041261673,order_status,0.378309041261673,False
what should I put for an international number,alternate_info,not_alternate_info,0.6452835202217102,not_alternate_info,0.6452835202217102,False
Is it mandatory to include my phone number in my account details?,alternate_info,not_alternate_info,0.9873433113098145,not_alternate_info,0.9873433113098145,False
please help me unsuscripe,product_updates,not_product_updates,0.6512548327445984,not_product_updates,0.6512548327445984,False
can I get alerts for specific products,product_updates,not_product_updates,0.9042124152183533,not_product_updates,0.9042124152183533,False
Can I sign up for text updates for sales,product_updates,not_product_updates,0.6342687010765076,not_product_updates,0.6342687010765076,False
What's the latest content or features added to the site?,product_updates,not_order_cancel,0.5023166537284851,not_order_cancel,0.5023166537284851,False
I'm interested in receiving regular updates. How do I sign up for them?,product_updates,not_product_updates,0.8356335759162903,not_product_updates,0.8356335759162903,False
Are there any black shoes currently available in your inventory?,product_stock,not_product_stock,0.8013694286346436,not_product_stock,0.8013694286346436,False
Could you guide me on the process of returning these jeans?,oreder_return,not_order_return,0.32249021530151367,not_order_return,0.32249021530151367,False
I would like to cancel the order I placed earlier.,order_cancel,not_order_cancel,0.8007577657699585,not_order_cancel,0.8007577657699585,False
When can I expect my shoes to arrive? Can you provide an estimated delivery date?,order_status,not_order_status,0.845562756061554,not_order_status,0.845562756061554,False
I'll use a different email address; it seems the one I entered is not accepted.,not_alternate_info,alternate_info,0.7122007608413696,alternate_info,0.7122007608413696,False
I'm not comfortable sharing my contact info; what happens with that information?,not_alternate_info,alternate_info,0.9525880217552185,alternate_info,0.9525880217552185,False
I don't have an email address to provide; can I leave that field blank?,not_alternate_info,alternate_info,0.9939314126968384,alternate_info,0.9939314126968384,False
What happens with the contact information I provide? I'm not concerned about confidentiality.,not_alternate_info,alternate_info,0.9182615876197815,alternate_info,0.9182615876197815,False
I don't need to use two discount codes at a time; any pricing is fine.,not_discount_code,discount_code,0.9130749106407166,discount_code,0.9130749106407166,False
I'm not interested in knowing about the current offers; regular prices are fine.,not_discount_code,not_payment_methods,0.37688136100769043,not_payment_methods,0.37688136100769043,False
I'm not concerned about finding a code to use; regular pricing works for me.,not_discount_code,not_price_match,0.7701129913330078,not_price_match,0.7701129913330078,False
I'm not interested in the kind of deals you have right now.,not_discount_code,discount_code,0.999491810798645,discount_code,0.999491810798645,False
I'm not interested in Black Friday promotions; regular pricing is fine.,not_discount_code,discount_code,0.3593829572200775,discount_code,0.3593829572200775,False
I don't care about ongoing promotions or the types of deals currently offered.,not_discount_code,discount_code,0.9972042441368103,discount_code,0.9972042441368103,False
I no longer want to cancel the shoes; I'm excited to receive them.,not_order_cancel,order_cancel,0.6767894625663757,order_cancel,0.6767894625663757,False
"After careful consideration, I've decided to keep my original order.",not_order_cancel,not_order_return,0.7122088670730591,not_order_return,0.7122088670730591,False
Please continue processing my order; I've changed my mind about canceling.,not_order_cancel,order_cancel,0.9199091196060181,order_cancel,0.9199091196060181,False
"Upon reflection, I've decided not to cancel my order; everything is as planned.",not_order_cancel,order_cancel,0.8712831735610962,order_cancel,0.8712831735610962,False
I just submitted an order and would like to proceed with it. No need to cancel.,not_order_cancel,order_cancel,0.6781116127967834,order_cancel,0.6781116127967834,False
I'd like to maintain my recent order; there's no need to cancel it.,not_order_cancel,order_cancel,0.9776910543441772,order_cancel,0.9776910543441772,False
I don't want to check the status of my order,not_order_status,order_status,0.9929311275482178,order_status,0.9929311275482178,False
do not check status of my order,not_order_status,order_status,0.9919034838676453,order_status,0.9919034838676453,False
"I've received my order, so no need to check the status anymore.",not_order_status,order_status,0.6618361473083496,order_status,0.6618361473083496,False
I'm not concerned about the security of the online payment platform.,not_payment_methods,payment_methods,0.992660403251648,payment_methods,0.992660403251648,False
I'm not concerned about the security measures of the online payment platform.,not_payment_methods,payment_methods,0.9988232254981995,payment_methods,0.9988232254981995,False
I don't care about honoring other store's prices; your pricing is fine for me.,not_price_match,price_match,0.7604039907455444,price_match,0.7604039907455444,False
"I'm not interested in white shoes at the moment, thank you.",not_product_stock,not_payment_methods,0.2997662425041199,not_payment_methods,0.2997662425041199,False
"I don't need size 9 shoes, so no need to check if they are in stock.",not_product_stock,product_stock,0.7044468522071838,product_stock,0.7044468522071838,False
"I've decided not to proceed with purchasing any special shoes, so no need to check for them.",not_product_stock,not_order_cancel,0.6341090202331543,not_order_cancel,0.6341090202331543,False
"I'm not interested in size 9 shoes at the moment, so no need to check stock.",not_product_stock,product_stock,0.703630805015564,product_stock,0.703630805015564,False
I'm not interested in what's new on the site right now.,not_product_updates,not_discount_code,0.43748554587364197,not_discount_code,0.43748554587364197,False
I don't need updates; I'm fine with the current information.,not_product_updates,not_discount_code,0.31738290190696716,not_discount_code,0.31738290190696716,False
I prefer not to subscribe to product updates; I'm not interested.,not_product_updates,product_updates,0.631781816482544,product_updates,0.631781816482544,False
I won't be subscribing to any updates on the website.,not_product_updates,product_updates,0.9778420925140381,product_updates,0.9778420925140381,False
I've decided not to return any shoes; I'm happy with my purchase.,not_order_return,not_order_cancel,0.891129732131958,not_order_cancel,0.891129732131958,False
I won't be initiating any returns; all the items are satisfactory.,not_order_return,not_product_stock,0.3704831898212433,not_product_stock,0.3704831898212433,False
I don't care about men's and women's sizing; any size will do.,not_sizing_clarification,sizing_clarification,0.8369942903518677,sizing_clarification,0.8369942903518677,False
I don't need to know what size to get; I'll figure it out when the item arrives.,not_sizing_clarification,not_payment_methods,0.9286940097808838,not_payment_methods,0.9286940097808838,False
I don't care if reviews include sizes; it's not relevant to my decision.,not_sizing_clarification,sizing_clarification,0.8986237645149231,sizing_clarification,0.8986237645149231,False
I'm not unsure about the size; any size will work for me.,not_sizing_clarification,sizing_clarification,0.8058552145957947,sizing_clarification,0.8058552145957947,False
